bytes, rep, ns
4096, 1, 1.779
4096, 2, 1.779
4096, 3, 1.778
4096, 4, 1.776
4096, 5, 1.774
8192, 1, 1.773
8192, 2, 1.780
8192, 3, 1.773
8192, 4, 1.774
8192, 5, 1.783
16384, 1, 1.776
16384, 2, 1.779
16384, 3, 1.781
16384, 4, 1.779
16384, 5, 1.783
32768, 1, 1.911
32768, 2, 1.903
32768, 3, 1.967
32768, 4, 1.920
32768, 5, 1.917
65536, 1, 6.797
65536, 2, 6.796
65536, 3, 7.840
65536, 4, 6.809
65536, 5, 6.800
131072, 1, 6.955
131072, 2, 9.162
131072, 3, 6.802
131072, 4, 6.800
131072, 5, 6.803
262144, 1, 8.127
262144, 2, 8.119
262144, 3, 8.136
262144, 4, 8.096
262144, 5, 8.135
524288, 1, 9.074
524288, 2, 8.806
524288, 3, 8.800
524288, 4, 8.874
524288, 5, 8.816
1048576, 1, 9.216
1048576, 2, 10.418
1048576, 3, 10.146
1048576, 4, 9.207
1048576, 5, 10.896
2097152, 1, 13.831
2097152, 2, 13.733
2097152, 3, 14.191
2097152, 4, 13.853
2097152, 5, 13.984
4194304, 1, 26.224
4194304, 2, 26.284
4194304, 3, 25.443
4194304, 4, 24.678
4194304, 5, 25.786
8388608, 1, 52.008
8388608, 2, 51.241
8388608, 3, 51.686
8388608, 4, 51.135
8388608, 5, 51.765
16777216, 1, 98.729
16777216, 2, 98.917
16777216, 3, 99.086
16777216, 4, 97.798
16777216, 5, 98.410
33554432, 1, 119.210
33554432, 2, 119.631
33554432, 3, 119.042
33554432, 4, 119.166
33554432, 5, 119.063
67108864, 1, 130.408
67108864, 2, 130.421
67108864, 3, 130.441
67108864, 4, 130.470
67108864, 5, 130.353
