bytes, rep, ns, cycles, cyc_per_access, ghz, l1_hit_pct, l2_hit_pct, l3_hit_pct, dram_pct
4096, 2, 6.412, 1002593766, 5.01, 0.78, 99.99, 0.01, 0.00, 0.00
8192, 3, 6.418, 1002881752, 5.01, 0.78, 99.98, 0.02, 0.00, 0.00
16384, 4, 6.428, 1005883339, 5.03, 0.78, 99.91, 0.09, 0.00, 0.00
32768, 5, 6.491, 1014060984, 5.07, 0.78, 99.66, 0.33, 0.00, 0.00
65536, 1, 28.360, 4424611196, 22.12, 0.78, 0.01, 99.97, 0.00, 0.01
131072, 3, 28.367, 4427618537, 22.14, 0.78, 0.05, 99.87, 0.00, 0.01
262144, 1, 31.463, 4884600758, 24.42, 0.78, 0.08, 99.87, 0.00, 0.02
524288, 1, 36.187, 5646870833, 28.23, 0.78, 0.17, 99.41, 0.41, 0.05
1048576, 3, 42.142, 6562095517, 32.81, 0.78, 0.28, 94.74, 4.82, 0.11
2097152, 3, 79.620, 12299279883, 61.50, 0.77, 0.51, 50.73, 47.95, 0.22
4194304, 2, 114.193, 17689362011, 88.45, 0.77, 1.05, 17.98, 74.82, 5.44
8388608, 5, 164.998, 25589271906, 127.95, 0.78, 1.59, 10.23, 51.17, 36.18
16777216, 2, 229.746, 35662737089, 178.31, 0.78, 3.08, 5.55, 23.66, 66.85
33554432, 3, 262.613, 40946057056, 204.73, 0.78, 5.78, 2.90, 11.54, 78.83
