bytes, rep, ns, cycles, cyc_per_access, ghz, l1_hit_pct, l2_hit_pct, l3_hit_pct, dram_pct
4096, 1, 6.419, 1002448991, 5.01, 0.78, 99.99, 0.01, 0.00, 0.00
4096, 2, 6.412, 1002593766, 5.01, 0.78, 99.99, 0.01, 0.00, 0.00
4096, 3, 6.405, 1001924114, 5.01, 0.78, 99.99, 0.01, 0.00, 0.00
4096, 4, 6.408, 1002229793, 5.01, 0.78, 99.99, 0.01, 0.00, 0.00
4096, 5, 6.420, 1001848528, 5.01, 0.78, 99.99, 0.01, 0.00, 0.00
8192, 1, 6.640, 1004339204, 5.02, 0.76, 99.95, 0.05, 0.00, 0.00
8192, 2, 6.700, 1005183039, 5.03, 0.75, 99.93, 0.07, 0.00, 0.00
8192, 3, 6.418, 1002881752, 5.01, 0.78, 99.98, 0.02, 0.00, 0.00
8192, 4, 6.411, 1002545126, 5.01, 0.78, 99.97, 0.02, 0.00, 0.00
8192, 5, 6.414, 1003278111, 5.02, 0.78, 99.97, 0.02, 0.00, 0.00
16384, 1, 6.434, 1004561239, 5.02, 0.78, 99.91, 0.08, 0.00, 0.00
16384, 2, 6.427, 1005352533, 5.03, 0.78, 99.91, 0.08, 0.00, 0.00
16384, 3, 6.426, 1005081620, 5.03, 0.78, 99.92, 0.08, 0.00, 0.00
16384, 4, 6.428, 1005883339, 5.03, 0.78, 99.91, 0.09, 0.00, 0.00
16384, 5, 6.429, 1005568828, 5.03, 0.78, 99.91, 0.09, 0.00, 0.00
32768, 1, 6.498, 1014788673, 5.07, 0.78, 99.67, 0.33, 0.00, 0.00
32768, 2, 6.499, 1014643149, 5.07, 0.78, 99.66, 0.34, 0.00, 0.00
32768, 3, 6.490, 1014781680, 5.07, 0.78, 99.66, 0.33, 0.00, 0.00
32768, 4, 6.487, 1014302186, 5.07, 0.78, 99.67, 0.33, 0.00, 0.00
32768, 5, 6.491, 1014060984, 5.07, 0.78, 99.66, 0.33, 0.00, 0.00
65536, 1, 28.360, 4424611196, 22.12, 0.78, 0.01, 99.97, 0.00, 0.01
65536, 2, 28.808, 4430869681, 22.15, 0.77, 0.04, 99.92, 0.00, 0.01
65536, 3, 28.362, 4426562552, 22.13, 0.78, 0.03, 99.94, 0.00, 0.01
65536, 4, 28.333, 4424807857, 22.12, 0.78, 0.04, 99.90, 0.00, 0.01
65536, 5, 28.337, 4423304413, 22.12, 0.78, 0.01, 99.99, 0.00, 0.01
131072, 1, 28.876, 4428475307, 22.14, 0.77, 0.05, 99.91, 0.00, 0.01
131072, 2, 28.342, 4428027980, 22.14, 0.78, 0.06, 99.90, 0.00, 0.01
131072, 3, 28.367, 4427618537, 22.14, 0.78, 0.05, 99.87, 0.00, 0.01
131072, 4, 28.316, 4420785980, 22.10, 0.78, 0.06, 99.91, 0.00, 0.01
131072, 5, 28.672, 4428438164, 22.14, 0.77, 0.06, 99.90, 0.00, 0.01
262144, 1, 31.463, 4884600758, 24.42, 0.78, 0.08, 99.87, 0.00, 0.02
262144, 2, 31.306, 4888513986, 24.44, 0.78, 0.09, 99.85, 0.01, 0.02
262144, 3, 31.346, 4891901512, 24.46, 0.78, 0.08, 99.86, 0.01, 0.03
262144, 4, 31.526, 4883320480, 24.42, 0.77, 0.09, 99.89, 0.01, 0.02
262144, 5, 31.701, 4904711936, 24.52, 0.77, 0.08, 99.84, 0.02, 0.03
524288, 1, 36.187, 5646870833, 28.23, 0.78, 0.17, 99.41, 0.41, 0.05
524288, 2, 36.191, 5647804379, 28.24, 0.78, 0.15, 99.39, 0.39, 0.06
524288, 3, 36.639, 5638314321, 28.19, 0.77, 0.17, 99.43, 0.33, 0.06
524288, 4, 36.114, 5640083755, 28.20, 0.78, 0.17, 99.50, 0.34, 0.05
